epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,456.916,1.75805,2.32924,1.79585,0.16783,0.14378,0.09932,0.03825,2.41771,3.51077,2.76306,0.000659649,0.000659649,0.000659649
2,898.347,1.73555,2.08066,1.80202,0.19534,0.21514,0.112,0.03503,2.75853,3.43568,3.24633,0.00130005,0.00130005,0.00130005
3,1330.62,1.73672,1.99711,1.80377,0.20801,0.21189,0.11077,0.03288,2.8501,3.85321,3.35774,0.00191406,0.00191406,0.00191406
4,1764.04,1.71716,1.92778,1.77144,0.36807,0.3545,0.23541,0.08041,2.4177,3.43573,2.59189,0.0018812,0.0018812,0.0018812
5,2185.8,1.68706,1.84861,1.74247,0.46329,0.46919,0.45106,0.17854,2.00712,1.94394,2.08231,0.0018416,0.0018416,0.0018416
6,2612.78,1.61526,1.79124,1.69143,0.57541,0.27568,0.30143,0.12138,2.22104,2.95077,2.23894,0.001802,0.001802,0.001802
7,3043.29,1.62545,1.73583,1.68312,0.47311,0.44108,0.44823,0.1932,1.99933,2.06879,2.10547,0.0017624,0.0017624,0.0017624
8,3896.38,1.58439,1.73769,1.68369,0.60869,0.53622,0.57556,0.25345,1.85354,1.83034,2.08784,0.0017228,0.0017228,0.0017228
9,5052.1,1.55881,1.67786,1.64919,0.53653,0.47676,0.52062,0.21935,1.93691,1.77121,2.06671,0.0016832,0.0016832,0.0016832
10,5625.01,1.5376,1.62281,1.644,0.64516,0.48541,0.58495,0.26789,1.74278,1.64542,1.90186,0.0016436,0.0016436,0.0016436
11,6075.97,1.54623,1.64297,1.65186,0.68539,0.48649,0.58776,0.2689,1.74086,1.70727,1.9,0.001604,0.001604,0.001604
12,7004.18,1.48704,1.57951,1.60481,0.54707,0.47676,0.5108,0.23559,1.84241,1.84528,1.99228,0.0015644,0.0015644,0.0015644
13,7595.58,1.53382,1.60733,1.62809,0.65253,0.52177,0.614,0.28943,1.7211,1.64414,1.82361,0.0015248,0.0015248,0.0015248
14,8021.33,1.47695,1.54291,1.59128,0.65788,0.57081,0.66362,0.31747,1.71852,1.53895,1.86816,0.0014852,0.0014852,0.0014852
15,8438.86,1.4708,1.54108,1.58318,0.71367,0.50919,0.61998,0.29313,1.76475,1.72456,1.88446,0.0014456,0.0014456,0.0014456
16,8872.74,1.4711,1.51905,1.58025,0.70953,0.52815,0.65303,0.31463,1.73264,1.64917,1.85579,0.001406,0.001406,0.001406
17,9287.49,1.49034,1.52799,1.59449,0.68958,0.56432,0.65302,0.31265,1.78071,1.60955,1.90036,0.0013664,0.0013664,0.0013664
18,9739.07,1.46703,1.51378,1.5838,0.73212,0.55459,0.69103,0.3394,1.65541,1.49941,1.82047,0.0013268,0.0013268,0.0013268
19,10310,1.44615,1.47335,1.56394,0.66853,0.58378,0.67152,0.31246,1.68902,1.53029,1.81239,0.0012872,0.0012872,0.0012872
20,10901.5,1.46405,1.50579,1.58976,0.67286,0.49585,0.58691,0.27439,1.75252,1.68633,1.86389,0.0012476,0.0012476,0.0012476
21,11441.1,1.41921,1.46302,1.55646,0.67237,0.57622,0.66854,0.33536,1.60151,1.49638,1.7738,0.001208,0.001208,0.001208
22,11945.1,1.42354,1.4383,1.55864,0.67008,0.57838,0.66608,0.32714,1.64205,1.51076,1.77543,0.0011684,0.0011684,0.0011684
23,12442.8,1.42438,1.45882,1.5714,0.62313,0.61838,0.68503,0.33814,1.67149,1.45083,1.852,0.0011288,0.0011288,0.0011288
24,12941,1.38502,1.38409,1.53476,0.78562,0.5586,0.70152,0.34503,1.66099,1.44589,1.78468,0.0010892,0.0010892,0.0010892
25,13379.6,1.42876,1.44587,1.55882,0.74926,0.57514,0.7051,0.34373,1.67066,1.44713,1.80001,0.0010496,0.0010496,0.0010496
26,13803.6,1.40537,1.41748,1.54368,0.64957,0.56711,0.64695,0.32791,1.67604,1.48969,1.80319,0.00101,0.00101,0.00101
27,14230.9,1.40118,1.4171,1.54737,0.65677,0.64336,0.71737,0.35846,1.6057,1.38047,1.75059,0.0009704,0.0009704,0.0009704
28,14649.3,1.38287,1.38096,1.52837,0.68962,0.60757,0.70324,0.35318,1.64632,1.41322,1.81898,0.0009308,0.0009308,0.0009308
29,15091.2,1.349,1.35818,1.50981,0.66323,0.65575,0.71448,0.35005,1.63657,1.42498,1.83685,0.0008912,0.0008912,0.0008912
30,15513,1.36587,1.3596,1.51234,0.74206,0.56916,0.70638,0.36878,1.59112,1.39525,1.72836,0.0008516,0.0008516,0.0008516
31,15941.3,1.35134,1.35278,1.51139,0.67959,0.64865,0.73949,0.37399,1.58717,1.31715,1.75119,0.000812,0.000812,0.000812
32,16380.1,1.33371,1.33099,1.50316,0.74236,0.61297,0.72986,0.377,1.57926,1.31821,1.73965,0.0007724,0.0007724,0.0007724
33,16817.7,1.31492,1.3166,1.48463,0.72654,0.62042,0.73939,0.37492,1.59709,1.31488,1.78421,0.0007328,0.0007328,0.0007328
34,17281,1.34925,1.35015,1.50392,0.74646,0.5952,0.73096,0.37031,1.57456,1.36902,1.75632,0.0006932,0.0006932,0.0006932
35,17831.7,1.3409,1.32442,1.50544,0.72937,0.61479,0.72687,0.37676,1.60142,1.3618,1.73283,0.0006536,0.0006536,0.0006536
36,18391.8,1.33417,1.303,1.49681,0.73964,0.58659,0.7257,0.3746,1.578,1.36854,1.71978,0.000614,0.000614,0.000614
37,18990.6,1.32151,1.28915,1.48876,0.72442,0.64794,0.74294,0.37276,1.63322,1.3269,1.77119,0.0005744,0.0005744,0.0005744
38,19607.5,1.31817,1.28333,1.49055,0.71443,0.62477,0.73761,0.38243,1.57569,1.31682,1.73434,0.0005348,0.0005348,0.0005348
39,20165.1,1.31717,1.27694,1.48274,0.67163,0.64865,0.7119,0.35309,1.603,1.3435,1.7644,0.0004952,0.0004952,0.0004952
40,20758.1,1.2945,1.26155,1.46969,0.71845,0.60757,0.74069,0.40222,1.52078,1.28792,1.68428,0.0004556,0.0004556,0.0004556
41,21353.3,1.33349,1.25609,1.52944,0.75309,0.59892,0.74176,0.39647,1.52438,1.32918,1.69397,0.000416,0.000416,0.000416
42,21951,1.29766,1.1952,1.50297,0.71365,0.63135,0.73385,0.37536,1.55285,1.31831,1.7056,0.0003764,0.0003764,0.0003764
43,22525.8,1.31563,1.18959,1.51074,0.70172,0.64856,0.73902,0.38572,1.53488,1.3048,1.69383,0.0003368,0.0003368,0.0003368
44,22965.3,1.28913,1.16933,1.50023,0.73099,0.66096,0.75179,0.39432,1.55381,1.28606,1.73168,0.0002972,0.0002972,0.0002972
45,23396.1,1.27944,1.16429,1.50875,0.69479,0.65838,0.74689,0.39606,1.52646,1.25597,1.69991,0.0002576,0.0002576,0.0002576
46,23870.6,1.26625,1.13771,1.48226,0.71701,0.67383,0.7711,0.4139,1.50618,1.2435,1.67364,0.000218,0.000218,0.000218
47,24295.2,1.2378,1.13074,1.47024,0.7214,0.67027,0.76907,0.40828,1.52428,1.24217,1.68297,0.0001784,0.0001784,0.0001784
48,24793.9,1.23547,1.11225,1.46761,0.72203,0.67956,0.76012,0.40573,1.51873,1.24791,1.69349,0.0001388,0.0001388,0.0001388
49,25276.1,1.23492,1.0867,1.46887,0.73672,0.67568,0.77288,0.41199,1.51867,1.23922,1.67915,9.92e-05,9.92e-05,9.92e-05
50,25715.9,1.23574,1.0839,1.45927,0.73391,0.66162,0.7664,0.41259,1.50276,1.23635,1.6727,5.96e-05,5.96e-05,5.96e-05
